#Brand;BrandDescription;TotalQuantitySales;TotalQuantityPurchase;Profit;MarginPercent
17202;Natura Malbec Ville de Rapel;1256;1294;6052.75;76
1130;Smugglers Notch Bourbon;712;1031;-6831.21;-17
25449;San Guido Sassacaia;3;6;-340.71;-24
20456;Duck Commander Wood Duck;3;24;-110.37;-81
8455;R Mondavi Fume Bl Napa Vly;2882;4005;1048.78;2
25524;Z Alexander Brown Uncaged Ca;2996;3380;588.84;1
2760;Jack Daniels Tennessee Honey;18250;19219;162655.12;30
26319;Steak House Cab Svgn;709;959;832.64;13
1742;Hedonism Scotch;8;90;-5915.88;-88
12123;Barefoot Cellars Rsl;9350;9528;22968.54;72
2680;Tomatin Scotch 14Yr Portwood;568;863;-7866.45;-21
26990;Colavita Pinot Grigio;3013;3016;5263.03;54
25989;Antech Limoux Emotion Sprklg;119;181;-45.64;-3
3050;Bowman Vodka;25479;25635;62172.36;37
1639;The Famous Grouse;3602;3660;17701.58;31
827;Bols Anisette;159;181;249.01;19
7162;Blue Nun Authentic White;4;24;-91.64;-74
34393;Valckenberg Gewurz Pfalz;4308;4367;16790.57;48
16822;Simply Naked Unoaked Moscato;4;26;-87.98;-72
11207;Livon Pnt Grigio;315;338;1294.93;37
8910;Finlandia Vodka;115888;117443;24519.77;27
7265;Taylor Fladgate LBV Port;1573;1668;9025.67;52
14632;Dom Serene Evenstad 11 Pnt N;284;303;6019.80;55
12449;St Clement Cab Svgn Orappas;5;20;-487.95;-64
44337;Irony Cab Svgn;3033;3222;13118.99;48
25560;Piledriver Red Blend 13;5561;5568;14584.41;45
22441;Omaka Springs Svgn Bl;1874;2074;7226.82;35
8096;Beefeater Gin;13223;14568;4310.88;19
3227;Taaka Gin;15134;15217;33106.04;32
27480;Lanson Black Label Brut;44;180;-3077.24;-64
29207;La Terre Wh Znfdl;13;20;-5.23;-5
24612;Estancia Pnt Nr Monterey;7443;7791;45047.95;99
1067;Absente  Glass & Spoon Pack;959;1197;701.47;6
18744;Ca'Momi Chard Napa Vly;1134;2209;2465.44;15
21341;Essenciel Paradis Prvnc Rose;2963;3133;11793.22;44
16380;Duboeuf Bjls Nouveau 2014;7603;8431;45202.50;114
23095;Glen Ellen Cab Svgn RSV;25730;26605;53212.90;42
3637;Zhenka Vodka Plastic;37594;37837;51686.33;35
22593;The Divining Rod Red;970;1077;2600.64;32
15347;Bunraku Nihonjin No Wasuremo;199;200;184.01;18
26273;Field Stone Cab Svgn Alexand;1;48;-592.53;-97
2079;Jack Daniels Sngl Barrel Rye;626;903;-6314.23;-17
17928;Prima Perla Prosecco Treviso;1415;2089;-2360.81;-14
45565;F Coppola Diamond Malbec;35;56;-46.27;-7
5669;Fabrizia Blood Orange;2738;3254;3656.10;8
